SubscriptionName,PolicyName,RetentionDays,RetentionMonths,RunFreq,IdSegment,RecoveryServicesVault,SnapshotRetentionDays,SnapshotType
Sub-MoogGov-Corp-Analytics-NonProd,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGV-Analytics-Backup-NP,5,null
Sub-MoogGov-Corp-Analytics-NonProd,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGV-Analytics-Backup-NP,5,null
Sub-MoogGov-Corp-Analytics-NonProd,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGV-Analytics-Backup-NP,2,null
Sub-MoogGov-EngineeringApplications-Prod,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGV-EngApps-Backup,2,null
Sub-MoogGov-EngineeringApplications-Prod,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGV-EngApps-Backup,5,null
Sub-MoogGov-EngineeringApplications-Prod,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGV-EngApps-Backup,5,null
Sub-MoogGov-EngineeringApplications-NonProd,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGV-EngApps-Backup-NP,5,null
Sub-MoogGov-EngineeringApplications-NonProd,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGV-EngApps-Backup-NP,2,null
Sub-MoogGov-EngineeringApplications-NonProd,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGV-EngApps-Backup-NP,5,null
Sub-MoogGov-Corp-Analytics-Prod,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGV-Analytics-Backup,5,null
Sub-MoogGov-Corp-Analytics-Prod,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGV-Analytics-Backup,5,null
Sub-MoogGov-Corp-Analytics-Prod,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGV-Analytics-Backup,2,null
