Subscription,Resource Group,VM Name,OS,Auto Update Enabled
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureKRDC01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAZURELPSAD01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureLPSDEV01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureLUDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureMFA01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureMFA02,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureMIM01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureMINCDVDC,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureMOOGDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureNLDC01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureORRDC01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzurePHDC01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureSGDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureSLCDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAZURESLMDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureTORDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureUKDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-HR,USAzureHRApp01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-iWIN,USAzureAPERIO01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Lansweeper,USAzureLSWP03,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Lansweeper,USAzureLSWP04,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm-NGDC,USAE2LRNGDC1,Linux,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm-NGDC,USAE2LRNGDC2,Linux,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm-NGDC,USAE2LRNGDC3,Linux,Yes
Moog-Azure-IaaS,RG-Moog-Americas-MIMProd,USAzurePMIMDW1,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-MIMProd,USAzurePMIMSP1,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-MIMProd,USAzurePMIMSyn1,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-MIMProd,USAzurePMIMSyn2-r,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRAIE01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,usazurelrdc02,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAZURELRDC03,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRDP01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRDP02,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAZURELRDX05,Linux,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRJUMP01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRMET01,Linux,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRPM01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRWUI01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAZURELRWUI02,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-MIMDev,USAzureDMIMDC,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-MIMDev,USAzureDMIMSvr1,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-MIMStaging,USAzureSMIMSP1,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-MIMStaging,USAzureSMIMSyn1,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-MoogWebContent,USAzureMWApp01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDBrkr01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDBrkr02,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDSess01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDSess02,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAZURERDUPD01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAZURERDUPD02,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDWeb01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDWeb02,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-ServiceNow,USAE2SVDMIDSN01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-ServiceNow,usae2svpmidsn01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-SLMPro2,USAZURESLMPY1,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-SQLHA,USAzureSQL16FSW,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-SQLHA,USAzureSQL16P1,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-SQLHA,USAzureSQL16P2,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-SQLHA,USAZURESQL16P3,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-SquidProxy,USAE2PROXY01,Linux,Yes
Moog-Azure-IaaS,RG-Moog-Americas-SquidProxy,USAE2PROXY02,Linux,Yes
Moog-Azure-IaaS,RG-Moog-Americas-System,USAzureMCGPrint,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-TomCat,USAzureDEVTC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-UC4,usae2svtswf01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-UC4,usae2svtswf02,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Valtech,USAzureDEVVT1,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-VSTS,USAZUREBLDR01,Windows,Yes
