Subscription,Resource Group,VM Name,Change Tracking Enabled
Moog-Azure-IaaS,RG-Moog-Americas-Directory,usae2svpcaasdc1,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAE2WAP03,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAE2WAP04,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureADDS01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureADDS02,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureADFS03,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureADFS04,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureAUDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureBRDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureCHIDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureCHTDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureCNDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureCORPDVDC,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureDEDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureIEDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureINDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureITDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureJPDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureKRDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAZURELPSAD01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureLPSDEV01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureLUDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureMFA01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureMFA02,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureMIM01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureMINCDVDC,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureMOOGDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureNLDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureORRDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzurePHDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureSGDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureSLCDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAZURESLMDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureTORDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureUKDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-HR,USAzureHRApp01,No
Moog-Azure-IaaS,RG-Moog-Americas-iWIN,USAzureAPERIO01,No
Moog-Azure-IaaS,RG-Moog-Americas-Lansweeper,USAzureLSWP03,No
Moog-Azure-IaaS,RG-Moog-Americas-Lansweeper,USAzureLSWP04,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm-NGDC,USAE2LRNGDC1,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm-NGDC,USAE2LRNGDC2,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm-NGDC,USAE2LRNGDC3,No
Moog-Azure-IaaS,RG-Moog-Americas-MIMProd,USAzurePMIMDW1,No
Moog-Azure-IaaS,RG-Moog-Americas-MIMProd,USAzurePMIMSP1,No
Moog-Azure-IaaS,RG-Moog-Americas-MIMProd,USAzurePMIMSyn1,No
Moog-Azure-IaaS,RG-Moog-Americas-MIMProd,USAzurePMIMSyn2-r,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRAIE01,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,usazurelrdc02,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAZURELRDC03,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRDP01,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRDP02,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAZURELRDX05,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRJUMP01,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRMET01,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRPM01,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAzureLRWUI01,No
Moog-Azure-IaaS,RG-Moog-Americas-LogRhythm,USAZURELRWUI02,No
Moog-Azure-IaaS,RG-Moog-Americas-MIMDev,USAzureDMIMDC,No
Moog-Azure-IaaS,RG-Moog-Americas-MIMDev,USAzureDMIMSvr1,No
Moog-Azure-IaaS,RG-Moog-Americas-MIMStaging,USAzureSMIMSP1,No
Moog-Azure-IaaS,RG-Moog-Americas-MIMStaging,USAzureSMIMSyn1,No
Moog-Azure-IaaS,RG-Moog-Americas-MoogWebContent,USAzureMWApp01,No
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDBrkr01,No
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDBrkr02,No
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDSess01,No
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDSess02,No
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAZURERDUPD01,Yes
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAZURERDUPD02,Yes
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDWeb01,No
Moog-Azure-IaaS,RG-Moog-Americas-RDSFarm,USAzureRDWeb02,Yes
Moog-Azure-IaaS,RG-Moog-Americas-ServiceNow,USAE2SVDMIDSN01,No
Moog-Azure-IaaS,RG-Moog-Americas-ServiceNow,usae2svpmidsn01,No
Moog-Azure-IaaS,RG-Moog-Americas-SLMPro2,USAZURESLMPY1,No
Moog-Azure-IaaS,RG-Moog-Americas-SQLHA,USAzureSQL16FSW,No
Moog-Azure-IaaS,RG-Moog-Americas-SQLHA,USAzureSQL16P1,No
Moog-Azure-IaaS,RG-Moog-Americas-SQLHA,USAzureSQL16P2,No
Moog-Azure-IaaS,RG-Moog-Americas-SQLHA,USAZURESQL16P3,No
Moog-Azure-IaaS,RG-Moog-Americas-SquidProxy,USAE2PROXY01,No
Moog-Azure-IaaS,RG-Moog-Americas-SquidProxy,USAE2PROXY02,No
Moog-Azure-IaaS,RG-Moog-Americas-System,USAzureMCGPrint,No
Moog-Azure-IaaS,RG-Moog-Americas-TomCat,USAzureDEVTC01,No
Moog-Azure-IaaS,RG-Moog-Americas-UC4,usae2svtswf01,No
Moog-Azure-IaaS,RG-Moog-Americas-UC4,usae2svtswf02,No
Moog-Azure-IaaS,RG-Moog-Americas-Valtech,USAzureDEVVT1,No
Moog-Azure-IaaS,RG-Moog-Americas-VSTS,USAZUREBLDR01,No
Moog-Azure-IaaS,RG-Moog-SLMCustomerPortal,USAzureSLMCP1,No
Moog-Azure-IaaS,RG-Moog-SLMCustomerPortal,USAzureSLMCP2,No
Moog-Azure-IaaS,RG-NLAW2-Jenkins,NLAW2WKSQA,No
Moog-Azure-IaaS,RG-NLAW2-ServiceNOW,NLAW2SVDMIDSN01,No
Moog-Azure-IaaS,RG-NLAW2-ServiceNOW,NLAW2SVPMIDSN01,No
Moog-Azure-IaaS,RG-NLAW2-ServiceNOW,NLAW2SVPMIDSN02,No
Moog-Azure-IaaS,RG-NLAW2-ServiceNOW,NLAW2SVPMIDSN03,No
Moog-Azure-IaaS,RG-NLAW2-SLMDEV,NLAW2SVSLMDev1,No
Moog-Azure-IaaS,RG-NLAW2-Veeam,nlaw2svemeavbr1,No
Moog-Azure-IaaS,RG-NLAW2-Veeam,NLAW2SVPVBOM01,No
Moog-Azure-IaaS,RG-NLAW2-Veeam,nlaw2svvbop01,No
Moog-Azure-IaaS,RG-NLAW2-Veeam,nlaw2svvlp02,No
Moog-Azure-IaaS,RG-NLAW2-Veeam,nlaw2svvsql01,No
Moog-Azure-IaaS,RG-SGAZ1-Network,SGAZ1SV-VCE01,No
Moog-Azure-IaaS,RG-SGAZ1-Network,SGAZ1SVVCEJMP01,No
